id,gelezen_soort,gelezen_artist,gelezen_title,gelezen_catno,release_id,vraagprijs,advies,titel,beschrijving,num_for_sale,lowest_eur,sug_vgplus,discogs_url,alternatieven,artiest_discogs,catno_discogs,formats,fotos,gelezen_a_kant,gelezen_aantal_nummers,gelezen_b_kant,gelezen_barcode,gelezen_beeld_punten,gelezen_bron,gelezen_country,gelezen_gatefold,gelezen_label,gelezen_lp_count,gelezen_notes,gelezen_release_id_auto,gelezen_staat_hoes,gelezen_year,genres,have,jaar_discogs,label_discogs,land_discogs,titel_discogs,tracklist,want
160630,LP,Gloria Gaynor,Never Can Say Goodbye,2315 321,466488,,"zeer courant, in een lot",LP Gloria Gaynor - Never Can Say Goodbye - MGM Records,"LP, MGM Records 2315 321
Persing Germany 1975
1x Vinyl LP Album Stereo
A1 Honey Bee
A2 Never Can Say Goodbye
A3 Reach Out, I'll Be There
B1 All I Need Is Your Sweet Lovin'
B2 Searchin'
B3 We Belong Together
B4 False Alarm
B5 Real Good People
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/466488",199,1.13,,https://www.discogs.com/release/466488,1258631 France 1975 Vinyl LP Album | 1768598 UK 1975 Vinyl LP Album Partially Mixed Stereo | 2327335 Australia 1975 Vinyl LP Album Stereo,Gloria Gaynor,2315 321,1x Vinyl LP Album Stereo,IMG20260913160630.jpg;IMG_20260913_160652.jpg,,8,,,412,tracklist,Germany,False,MGM Records,1,herkend op tracklist: 8 van 8 tracktitels teruggevonden (via 2315 321),466488,,1975,"Funk / Soul, Soul, Disco",3624,1975,MGM Records,Germany,Never Can Say Goodbye,"A1 Honey Bee | A2 Never Can Say Goodbye | A3 Reach Out, I'll Be There | B1 All I Need Is Your Sweet Lovin' | B2 Searchin' | B3 We Belong Together | B4 False Alarm | B5 Real Good People",146
160800,LP,Vikki Carr,It Must Be Him,4 C058-90264,6265083,5.0,los of lot,"LP Vikki Carr - It Must Be Him - Liberty, Liberty","LP, Liberty, Liberty 4 C058-90264
Persing Belgium
1x Vinyl LP Compilation Reissue Stereo
A1 It Must Be Him
A2 None But The Lonely Heart
A3 Her Little Heart Went To Loveland
A4 Laia Ladaia (Reza)
A5 Look Again (Theme From 'Irma La Douce')
A6 Forget You
B1 Cuando Caliente El Sol
B2 How Does The Wine Taste
B3 Should I Follow
B4 May I Come In
B5 Toys
B6 San Francisco
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/6265083",2,2.33,,https://www.discogs.com/release/6265083,"11130278 Belgium 1966 Vinyl 7"" 45 RPM Single | 11556327 Belgium 1976 Vinyl 7"" Single | 13469291 Belgium 1977 Vinyl 7"" Single",Vikki Carr,4 C058-90264,1x Vinyl LP Compilation Reissue Stereo,IMG20260913160800.jpg;IMG20260913160815.jpg,,12,,,400,tracklist,Belgium,False,Liberty,1,herkend op tracklist: 11 van 12 tracktitels teruggevonden (via C058-90264),6265083,,,"Jazz, Pop, Vocal, Easy Listening",20,0,"Liberty, Liberty",Belgium,It Must Be Him,A1 It Must Be Him | A2 None But The Lonely Heart | A3 Her Little Heart Went To Loveland | A4 Laia Ladaia (Reza) | A5 Look Again (Theme From 'Irma La Douce') | A6 Forget You | B1 Cuando Caliente El Sol | B2 How Does The Wine Taste | B3 Should I Follow | B4 May I Come In | B5 Toys | B6 San Francisco,12
160841,LP,The Professionals (8),Falling In And Out Of Love,WBS 5034,1386866,5.0,los of lot,LP The Professionals (8) - Falling In And Out Of Love - W.B.,"LP, W.B. Sound WBS 5034
Persing Belgium 1984
1x Vinyl LP Album Stereo
A1 Falling In And Out Of Love (Vocal)
A2 Primitive Man
A3 Jungle Drums (Part 1)
A4 Come On
A5 In The Middle Of The Floor
B1 Maigret Theme
B2 In The Middle Of The Floor
B3 Jungle Drums (Part 2)
B4 China Town
B5 Love Me
B6 Falling In And Out Of Love (Instr.)
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/1386866",4,2.62,,https://www.discogs.com/release/1386866,"1703296 Belgium None Vinyl 12"" | 1289623 Belgium 1982 Vinyl 7"" 45 RPM Single",The Professionals (8),WBS 5034,1x Vinyl LP Album Stereo,IMG20260913160841.jpg;IMG20260913160850.jpg,,11,,,96,hoesbeeld,Belgium,False,W.B. Sound,1,herkend op hoesbeeld: 96 samenvallende punten met de afbeelding op Discogs (gevonden via tekstzoek: falling floor),1386866,,1984,"Electronic, Disco",42,1984,W.B. Sound,Belgium,Falling In And Out Of Love,A1 Falling In And Out Of Love (Vocal) | A2 Primitive Man | A3 Jungle Drums (Part 1) | A4 Come On | A5 In The Middle Of The Floor | B1 Maigret Theme | B2 In The Middle Of The Floor | B3 Jungle Drums (Part 2) | B4 China Town | B5 Love Me | B6 Falling In And Out Of Love (Instr.),14
160904,LP,Herb Alpert & The Tijuana Brass,...Sounds Like...,212 001,1903233,5.0,los of lot,LP Herb Alpert & The Tijuana Brass - ...Sounds Like... - A&M,"LP, A&M Records, A&M Records 212 001
Persing Germany 1967
1x Vinyl LP Album Stereo
A1 Gotta Lotta Livin' To Do
A2 Lady Godiva
A3 Bo-Bo
A4 Shades Of Blue
A5 In A Little Spanish Town
A6 Wade In The Water
B1 Town Without Pity
B2 The Charmer
B3 Treasure Of San Miguel
B4 Miss Frenchy Brown
B5 Casino Royale
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/1903233",100,1.15,,https://www.discogs.com/release/1903233,8182759 Germany 1967 Vinyl LP Album Stereo | 8329850 Germany 1967 Vinyl LP Album Stereo | 6527324 Germany 1967 Vinyl LP Album Stereo,Herb Alpert & The Tijuana Brass,212 001,1x Vinyl LP Album Stereo,IMG20260913160904.jpg;IMG20260913160913.jpg,,11,,,548,tracklist,Germany,False,A&M Records,1,herkend op tracklist: 10 van 11 tracktitels teruggevonden (via 212001),1903233,,1967,"Jazz, Latin Jazz, Easy Listening",734,1967,"A&M Records, A&M Records",Germany,...Sounds Like...,A1 Gotta Lotta Livin' To Do | A2 Lady Godiva | A3 Bo-Bo | A4 Shades Of Blue | A5 In A Little Spanish Town | A6 Wade In The Water | B1 Town Without Pity | B2 The Charmer | B3 Treasure Of San Miguel | B4 Miss Frenchy Brown | B5 Casino Royale,31
161046,LP,Bobby Vinton,The Very Best Of Bobby Vinton,ADEH 99,5149189,5.0,los of lot,LP Bobby Vinton - The Very Best Of Bobby Vinton - Arcade Rec,"LP, Arcade Records (3) ADEH 99
Persing Netherlands 1982
1x Vinyl LP Compilation Gatefold
A1 Mr. Lonely
A2 I Love How You Love Me
A3 Rain, Rain, Go Away
A4 There, I've Said It Again
A5 But I Do
A6 Tell Me Why
A7 And I Love You So
A8 Lavender Blue
A9 Roses Are Red (My Love)
B1 Blue Velvet
B2 My Special Angel
B3 Blue On Blue
B4 Only Love Can Break A Heart
B5 My Heart Belongs To Only You
B6 Please Love Me Forever
B7 My Melody Of Love
B8 Hurt
B9 Sealed With A Kiss
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/5149189",23,1.1,,https://www.discogs.com/release/5149189,492577 Netherlands 1981 Vinyl LP Compilation Stereo | 208722 Netherlands 1983 Vinyl LP Compilation Mixed Stereo | 6886099 Netherlands 1982 Vinyl LP Compilation,Bobby Vinton,ADEH 99,1x Vinyl LP Compilation Gatefold,IMG20260913161046.jpg;IMG20260913161056.jpg,,18,,,219,tracklist,Netherlands,True,Arcade Records (3),1,herkend op tracklist: 15 van 18 tracktitels teruggevonden (via hint artiest+titel),5149189,,1982,Pop,293,1982,Arcade Records (3),Netherlands,The Very Best Of Bobby Vinton,"A1 Mr. Lonely | A2 I Love How You Love Me | A3 Rain, Rain, Go Away | A4 There, I've Said It Again | A5 But I Do | A6 Tell Me Why | A7 And I Love You So | A8 Lavender Blue | A9 Roses Are Red (My Love) | B1 Blue Velvet | B2 My Special Angel | B3 Blue On Blue | B4 Only Love Can Break A Heart | B5 My Heart Belongs To Only You | B6 Please Love Me Forever | B7 My Melody Of Love | B8 Hurt | B9 Sealed With A Kiss",16
161115,LP,André Hazes,Met Liefde,1A 068-26853,908758,5.0,los of lot,LP André Hazes - Met Liefde - EMI,"LP, EMI 1A 068-26853
Persing Netherlands 1982
1x Vinyl LP Album
A1 Amor, Amor, Amor
A2 Laat Me
A3 Alsjeblieft Laat Me Zeggen Schat
A4 Als Ik De Deur Achter Me Sluit
A5 Ik Heb 't Altijd Al Geweten
A6 Vandaag
B1 Vergeef 't Mij
B2 Alles Kreeg Je Wat Je Vroeg
B3 Als Je Gaat
B4 Straks Is Het Zomer
B5 Diep In Mijn Hart
B6 De Sneuvelkroeg
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/908758",50,0.86,,https://www.discogs.com/release/908758,20196286 Netherlands 1982 Vinyl LP Album | 20966773 Netherlands 2021 Vinyl LP Reissue | 36108892 Netherlands 2025 Vinyl LP Album,André Hazes,1A 068-26853,1x Vinyl LP Album,IMG20260913161115.jpg;IMG20260913161133.jpg,,12,,,359,hoesbeeld,Netherlands,False,EMI,1,herkend op hoesbeeld: 359 samenvallende punten met de afbeelding op Discogs (gevonden via hint artiest+titel),20196286,,1982,"Rock, Pop, Ballad, Schlager, Levenslied",2279,1982,EMI,Netherlands,Met Liefde,"A1 Amor, Amor, Amor | A2 Laat Me | A3 Alsjeblieft Laat Me Zeggen Schat | A4 Als Ik De Deur Achter Me Sluit | A5 Ik Heb 't Altijd Al Geweten | A6 Vandaag | B1 Vergeef 't Mij | B2 Alles Kreeg Je Wat Je Vroeg | B3 Als Je Gaat | B4 Straks Is Het Zomer | B5 Diep In Mijn Hart | B6 De Sneuvelkroeg",50
161142,LP,André Hazes,Met Liefde,1A 068-26853,908758,5.0,los of lot,LP André Hazes - Met Liefde - EMI,"LP, EMI 1A 068-26853
Persing Netherlands 1982
1x Vinyl LP Album
A1 Amor, Amor, Amor
A2 Laat Me
A3 Alsjeblieft Laat Me Zeggen Schat
A4 Als Ik De Deur Achter Me Sluit
A5 Ik Heb 't Altijd Al Geweten
A6 Vandaag
B1 Vergeef 't Mij
B2 Alles Kreeg Je Wat Je Vroeg
B3 Als Je Gaat
B4 Straks Is Het Zomer
B5 Diep In Mijn Hart
B6 De Sneuvelkroeg
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/908758",50,0.86,,https://www.discogs.com/release/908758,20196286 Netherlands 1982 Vinyl LP Album | 20966773 Netherlands 2021 Vinyl LP Reissue | 36108892 Netherlands 2025 Vinyl LP Album,André Hazes,1A 068-26853,1x Vinyl LP Album,IMG20260913161142.jpg;IMG20260913161156.jpg;IMG20260913161203.jpg,,12,,,168,tracklist,Netherlands,False,EMI,1,herkend op tracklist: 11 van 12 tracktitels teruggevonden (via 1A068-26853),908758,,1982,"Rock, Pop, Ballad, Schlager, Levenslied",2279,1982,EMI,Netherlands,Met Liefde,"A1 Amor, Amor, Amor | A2 Laat Me | A3 Alsjeblieft Laat Me Zeggen Schat | A4 Als Ik De Deur Achter Me Sluit | A5 Ik Heb 't Altijd Al Geweten | A6 Vandaag | B1 Vergeef 't Mij | B2 Alles Kreeg Je Wat Je Vroeg | B3 Als Je Gaat | B4 Straks Is Het Zomer | B5 Diep In Mijn Hart | B6 De Sneuvelkroeg",50
161218,LP,Timi Yuro,This Is Timi Yuro - Hurt And Smile,5D 128-52695/6,4724619,5.0,los of lot,LP Timi Yuro - This Is Timi Yuro - Hurt And Smile - Sunset R,"LP, Sunset Records, Sunset Records 5D 128-52695/6
Persing Netherlands
2x Vinyl LP Compilation Gatefold
Hurt
A1 Hurt
A2 Something Bad On My Mind
A3 I'll Never Fall In Love Again
A4 What's A Matter Baby
A5 Fever
A6 Should I Ever Love Again
B1 It's Too Soon To Know
B2 You Know You Don't Want Me
B3 The Love Of A Boy
B4 Let Me Call You Sweetheart
B5 I Ain't Gonna Cry No More
B6 Only Love Me
Smile
C1 It'll Never Be Over For Me
C2 Guess Who
C3 When He Wants A Woman
C4 As Long As There Is You
C5 Just Say I Love Him
C6 My Prayer
D1 Interlude
D2 Wrong
D3 Hallelujah I Love Him So
D4 That's Right, Walk On By
D5 I Can't Believe I'm Loosing You
D6 Hey Girl (Hey Boy)
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/4724619",36,1.38,,https://www.discogs.com/release/4724619,35606308 Netherlands None Vinyl LP Compilation Reissue | 8278587 US 1979 Vinyl LP Compilation | 5345312 UK 1966 Vinyl LP Compilation Reissue Mono,Timi Yuro,5D 128-52695/6,2x Vinyl LP Compilation Gatefold,IMG20260913161218.jpg;IMG20260913161226.jpg;IMG20260913161238.jpg,,26,,,243,tracklist,Netherlands,True,Sunset Records,2,herkend op tracklist: 20 van 26 tracktitels teruggevonden (via 5D128-52695),4724619,,,"Funk / Soul, Pop, Soul, Ballad",158,0,"Sunset Records, Sunset Records",Netherlands,This Is Timi Yuro - Hurt And Smile,"Hurt | A1 Hurt | A2 Something Bad On My Mind | A3 I'll Never Fall In Love Again | A4 What's A Matter Baby | A5 Fever | A6 Should I Ever Love Again | B1 It's Too Soon To Know | B2 You Know You Don't Want Me | B3 The Love Of A Boy | B4 Let Me Call You Sweetheart | B5 I Ain't Gonna Cry No More | B6 Only Love Me | Smile | C1 It'll Never Be Over For Me | C2 Guess Who | C3 When He Wants A Woman | C4 As Long As There Is You | C5 Just Say I Love Him | C6 My Prayer | D1 Interlude | D2 Wrong | D3 Hallelujah I Love Him So | D4 That's Right, Walk On By | D5 I Can't Believe I'm Loosing You | D6 Hey Girl (Hey Boy)",16
161310,LP,Lee Towers,New York,204.867,1029942,5.0,los of lot,"LP Lee Towers - New York - Ariola, Ariola","LP, Ariola, Ariola 204.867
Persing Europe 1982
1x Vinyl LP Album Stereo
A1 New York, New York
A2 Love Is All
A3 Midnight Crazy
A4 Your Place Is Here With Me
A5 Song For The Unknown Soldier
A6 If You'd Known My Mind
B1 I'm All Smiles
B2 Bloodline
B3 Watch What Happens
B4 We're All Alone
B5 I Can See Clearly Now
B6 Joe Turner's Blues
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/1029942",60,1.16,,https://www.discogs.com/release/1029942,"25713595 Europe 1982 Vinyl LP Album Stereo | 12101055 US 1952 Vinyl 10"" 78 RPM Promo | 15961601 Israel 2020 Vinyl LP Album Reissue",Lee Towers,204.867,1x Vinyl LP Album Stereo,IMG20260913161310.jpg;IMG20260913161345.jpg,,12,,,491,tracklist,Europe,False,Ariola,1,herkend op tracklist: 12 van 12 tracktitels teruggevonden (via hint artiest+titel),1029942,,1982,"Pop, Vocal",688,1982,"Ariola, Ariola",Europe,New York,"A1 New York, New York | A2 Love Is All | A3 Midnight Crazy | A4 Your Place Is Here With Me | A5 Song For The Unknown Soldier | A6 If You'd Known My Mind | B1 I'm All Smiles | B2 Bloodline | B3 Watch What Happens | B4 We're All Alone | B5 I Can See Clearly Now | B6 Joe Turner's Blues",7
161415,LP,"Barry White, Love Unlimited, Love Unlimited Orchestra",Grand Gala,6830 169,583091,5.0,los of lot,"LP Barry White, Love Unlimited, Love Unlimited Orchestra - G","LP, Philips 6830 169
Persing Netherlands 1973
1x Vinyl LP Compilation
A1 Never, Never Gonna Give Ya Up
A2 I've Got So Much To Give
A3 I'm Gonna Love You Just A Little More Baby
A4 Just A Little More Baby
A5 Bring Back My Yesterday
B1 It May Be Winter Outside (But In My Heart It's Spring)
B2 Love's Theme
B3 Under The Influence Of Love
B4 Sweet Moments
B5 Oh Love, Well We Finally Made It
Hoes: [invullen]. Vinyl: [invullen].
https://www.discogs.com/release/583091",119,1.16,,https://www.discogs.com/release/583091,25302598 Worldwide 2022 Vinyl LP Album Reissue Remastered Repress Vinyl LP Compilation Picture Disc All Media | 26253368 Worldwide 2022 Vinyl LP Album Reissue Remastered Repress Vinyl LP Compilation Picture Disc Box Set Numbered,"Barry White, Love Unlimited, Love Unlimited Orchestra",6830 169,1x Vinyl LP Compilation,IMG20260913161415.jpg;IMG20260913161425.jpg,,10,,,405,tracklist,Netherlands,False,Philips,1,herkend op tracklist: 10 van 10 tracktitels teruggevonden (via 6830 169),583091,,1973,"Funk / Soul, Soul",2298,1973,Philips,Netherlands,Grand Gala,"A1 Never, Never Gonna Give Ya Up | A2 I've Got So Much To Give | A3 I'm Gonna Love You Just A Little More Baby | A4 Just A Little More Baby | A5 Bring Back My Yesterday | B1 It May Be Winter Outside (But In My Heart It's Spring) | B2 Love's Theme | B3 Under The Influence Of Love | B4 Sweet Moments | B5 Oh Love, Well We Finally Made It",63
