artiest;titel;soort;jaar;label;catalogusnummer;persing;vraagprijs;advies;foto's;discogs
ABBA;Head Over Heels / The Visitors;single;1982;Vogue;101608;France;3.0;los of lot;"IMG20260913170004.jpg;IMG20260913170020.jpg";https://www.discogs.com/release/718468
ABBA;One Of Us;single;1981;Polydor;2002 113;Netherlands;;zeer courant, in een lot;"IMG20260913170039.jpg;IMG20260913170044.jpg";https://www.discogs.com/release/1098743
ABBA;Under Attack / You Owe Me One;single;1982;Vogue;101718;France;3.0;los of lot;"IMG20260913170059.jpg;IMG20260913170109.jpg";https://www.discogs.com/release/793027
Adamo;Le Disque D'Or De Salvatore Adamo;LP;1972;La Voix De Son Maître;2C 064-16048;France;5.0;los of lot;"IMG20260913170353.jpg;IMG20260913170359.jpg";https://www.discogs.com/release/1516673
Adriano Celentano;Si Tu Travailles, On Fait L'amour = Chi Non Lavora Non Fa L'amore;single;1970;Disques Vogue, Clan Celentano;INT. 80232;France;3.0;los of lot;"IMG20260913165017.jpg;IMG20260913165026.jpg";https://www.discogs.com/release/3527284
Alain Barrière;Tu T'en Vas / Un Poete;single;1975;Albatros;ALB 10.118;France;;zeer courant, in een lot;"IMG20260913165937.jpg;IMG20260913165941.jpg";https://www.discogs.com/release/1171792
Alain Chamfort;Je Pense A Elle, Elle Pense A Moi;single;1973;Disques Flèche;6061 187;France;3.0;los of lot;"IMG20260913164646.jpg;IMG20260913164650.jpg";https://www.discogs.com/release/3334398
André Hazes;Met Liefde;LP;1982;EMI;1A 068-26853;Netherlands;5.0;los of lot;"IMG20260913161115.jpg;IMG20260913161133.jpg";https://www.discogs.com/release/908758
André Hazes;Met Liefde;LP;1982;EMI;1A 068-26853;Netherlands;5.0;los of lot;"IMG20260913161142.jpg;IMG20260913161156.jpg;IMG20260913161203.jpg";https://www.discogs.com/release/908758
Anita Meyer;Shades Of Desire;LP;1981;Ariola, Ariola;203.935;Netherlands;5.0;los of lot;"IMG20260913163958.jpg;IMG20260913164007.jpg";https://www.discogs.com/release/1906340
Anne-Marie David;Tu Te Reconnaitras;single;1973;Epic, Epic;EPC 1353;France;3.0;los of lot;"IMG20260913164800.jpg;IMG20260913164805.jpg";https://www.discogs.com/release/1572418
Anthony Quinn;My Forgotten Years;single;;Disques Markal;AA 702;Belgium;3.0;los of lot;"IMG20260913165331.jpg;IMG20260913165340.jpg";https://www.discogs.com/release/5170520
Barbra Streisand;Woman In Love;single;1980;CBS, CBS;CBS 8966;Europe;;zeer courant, in een lot;"IMG20260913165756.jpg;IMG20260913165803.jpg";https://www.discogs.com/release/539484
Barry White;Barry White's Greatest Hits;LP;1984;Casablanca;6463 154;Netherlands;6.5;los of lot;"IMG20260913163622.jpg;IMG20260913163626.jpg;IMG20260913163634.jpg";https://www.discogs.com/release/903950
Barry White, Love Unlimited, Love Unlimited Orchestra;Grand Gala;LP;1973;Philips;6830 169;Netherlands;5.0;los of lot;"IMG20260913161415.jpg;IMG20260913161425.jpg";https://www.discogs.com/release/583091
Bobby Vinton;The Very Best Of Bobby Vinton;LP;1982;Arcade Records (3);ADEH 99;Netherlands;5.0;los of lot;"IMG20260913161046.jpg;IMG20260913161056.jpg";https://www.discogs.com/release/5149189
Carmen Cavallaro;The Eddy Duchin Story;LP;1974;Coral;COPS 1262;Italy;5.0;los of lot;"IMG20260913162431.jpg;IMG20260913162438.jpg";https://www.discogs.com/release/1942885
Change;Change Of Heart;LP;1984;WEA, WEA;240 439-1;UK & Europe;6.0;los of lot;"IMG20260913163846.jpg;IMG20260913163851.jpg";https://www.discogs.com/release/158404
Charles Aznavour;Les Plaisirs Démodés / Me Voilà Seul;single;1972;Barclay;61.569;France;3.0;los of lot;"IMG20260913164943.jpg;IMG20260913164949.jpg";https://www.discogs.com/release/809997
Charles Aznavour;The Old Fashioned Way;single;1973;Barclay, Barclay;61.751;France;;zeer courant, in een lot;"IMG20260913164923.jpg;IMG20260913164928.jpg";https://www.discogs.com/release/1295509
Corinne Hermès;Si La Vie Est Cadeau;single;1983;Saban Records;811 601-7;France;3.0;los of lot;"IMG20260913164748.jpg;IMG20260913164752.jpg";https://www.discogs.com/release/2474388
Corry Konings;Net Als Vroeger;LP;1983;Philips;814 525-1;Netherlands;5.0;los of lot;"IMG20260913163146.jpg;IMG20260913163153.jpg";https://www.discogs.com/release/732419
Daniel Guichard;La Tendresse;LP;1973;Barclay;80486;France;5.0;los of lot;"IMG20260913170417.jpg;IMG20260913170430.jpg";https://www.discogs.com/release/7582896
Daniel Guichard;La Tendresse;LP;1973;Barclay;80486;France;5.0;los of lot;"IMG20260913170436.jpg;IMG20260913170457.jpg";https://www.discogs.com/release/7582896
Demis Roussos;Mes Succès;LP;1977;Philips;9199 534;Netherlands;5.0;los of lot;"IMG20260913162532.jpg;IMG20260913162537.jpg;IMG20260913162602.jpg;IMG20260913162612.jpg";https://www.discogs.com/release/1557775
Demis Roussos;My Only Fascination;LP;1974;Philips;6325 094;France;5.0;los of lot;"IMG20260913162456.jpg;IMG20260913162502.jpg";https://www.discogs.com/release/2910327
Diana Ross;Why Do Fools Fall In Love;LP;1981;Capitol Records, Capitol Records;1A 064-86441;Europe;;zeer courant, in een lot;"IMG20260913161519.jpg;IMG20260913161557.jpg;IMG20260913161610.jpg";https://www.discogs.com/release/489036
